code,name,sector
247540,에코프로BM,전기전자
196170,알테오젠,의약품
035900,JYP Ent.,서비스업
293490,카카오게임즈,서비스업
263750,펄어비스,서비스업
086520,에코프로,화학
041510,에스엠,서비스업
112040,위메이드,서비스업
328130,루닛,서비스업
068270,셀트리온제약,의약품
357780,솔브레인,화학
005290,동진쎄미켐,화학
141080,레고켐바이오,의약품
145020,휴젤,의약품
067160,아프리카TV,서비스업
095340,ISC,전기전자
058470,리노공업,기계
039030,이오테크닉스,기계
028300,HLB,의약품
078600,대주전자재료,전기전자
108860,셀바스AI,서비스업
214150,클래시스,기계
090460,비에이치,전기전자
240810,원익IPS,기계
950160,코오롱티슈진,의약품
403870,HPSP,기계
000250,삼천당제약,의약품
222080,씨아이에스,기계
352820,하이브,서비스업
039200,오스코텍,의약품
950210,프레스티지바이오파마,의약품
060310,3S,전기전자
137310,에스디바이오센서,의약품
099190,아이센스,의약품
290650,엘앤씨바이오,의약품
048260,오스템임플란트,의약품
299030,하나기술,기계
089030,테크윙,기계
367340,SK바이오사이언스,의약품
064760,티씨케이,화학
226330,신테카바이오,의약품
277810,레인보우로보틱스,기계
053800,안랩,서비스업
340570,티앤엘,의약품
336260,두산테스나,기계
383220,F&F,유통업
035760,CJ ENM,서비스업
091990,셀트리온헬스케어,의약품
043150,바텍,의약품
237690,에스티팜,의약품
314930,바이오노트,의약품
042000,카페24,서비스업
009520,포스코엠텍,철강금속
036830,솔브레인홀딩스,화학
131970,테스나,기계
078340,컴투스,서비스업
036490,인사이트메디,의약품
215600,신라젠,의약품
060280,큐렉소,의약품
330860,네이처셀,의약품
